id,name,type,jurisdiction,parent_entity,website_url,description,members_count,appointment_authority,meeting_schedule,creation_date,legal_source,last_verified
city-board-001,Planning Commission,Commission,City of San Diego,Mayor,https://www.sandiego.gov/planning-commission,General Plan recommendations and permit decisions,7,Mayor appointment with City Council confirmation,Twice monthly Thursdays 9am,,San Diego Municipal Code,2024-09-03
city-board-002,Ethics Commission,Commission,City of San Diego,Mayor,https://www.sandiego.gov/ethics,Monitor governmental ethics laws and conduct investigations,7,Mayor from nominees with City Council confirmation,Regular meetings,1999,San Diego Municipal Code Chapter II Article 6 Division 4,2024-09-03
city-board-003,Civil Service Commission,Commission,City of San Diego,Mayor,https://www.sandiego.gov/empopp/about/civilser,Classified employee policies and procedures,5,Mayor appointment with City Council approval,First Thursday monthly,,San Diego Municipal Code,2024-09-03
city-board-004,Housing Commission Board,Commission,City of San Diego,Mayor,https://onboard.sandiego.gov/board/3464,Housing Authority oversight and policy,7,Mayor appointment with City Council confirmation,Regular meetings,1968,San Diego Municipal Code Chapter IX Article 8 Section 98.29,2024-09-03
city-board-005,Historical Resources Board,Board,City of San Diego,Mayor,https://www.sandiego.gov/planning/public-hearings-meetings/historical-resources-board,Historical site designation and development review,7,Mayor appointment with City Council confirmation,Fourth Thursday monthly 1pm,,San Diego Municipal Code Section 111.0206,2024-09-03
city-board-006,Parks and Recreation Board,Board,City of San Diego,Mayor,https://www.sandiego.gov/parkandrecboard,Park acquisition and development advisory,11,Mayor appointment with City Council confirmation,Third Thursday 2pm,,San Diego Municipal Code Section 26.30,2024-09-03
city-board-007,Board of Library Commissioners,Board,City of San Diego,Mayor,https://www.sandiego.gov/public-library/about-the-library/commissioners,Public Library system advisory,8,Mayor appointment with City Council confirmation,First Wednesday 12:30pm,,San Diego Municipal Code,2024-09-03
city-board-008,Commission on Police Practices,Commission,City of San Diego,City Council,https://www.sandiego.gov/cpp,Independent police oversight and investigation,25,City Council appointment after application process,Regular meetings,2020,City Charter Section 41.2 - Measure B,2024-09-03
city-board-009,Commission for Arts and Culture,Commission,City of San Diego,Mayor,https://www.sandiego.gov/boards-and-commissions/arts-culture,Arts and cultural policy advisory,7,Mayor appointment with City Council confirmation,Fourth Friday 8:30-10:30am,,San Diego Municipal Code,2024-09-03
city-board-010,Accessibility Advisory Board,Board,City of San Diego,Mayor,https://onboard.sandiego.gov,Accessibility policy and compliance advisory,7,Mayor appointment with City Council confirmation,Regular meetings,,San Diego Municipal Code,2024-09-03
