id,official_name,parent_organization,description_purpose,member_count,appointment_authority,meeting_schedule,website_url,notes
sandag-001,SANDAG Board of Directors,San Diego Association of Governments,Regional planning and transportation governance board,21,Elected officials from 19 local governments,2nd and 4th Fridays monthly,https://www.sandag.org/meetings-and-events/board-of-directors,"21 voting members from 18 cities plus County of San Diego, San Diego gets 2 seats"
sandag-002,Executive Committee,SANDAG,Budget oversight and Board agenda setting,6,"Regional representatives from East County, North County Coastal, North County Inland, South County, City of San Diego, County",2nd Friday monthly at 9am,https://www.sandag.org/meetings-and-events/policy-advisory-committees/executive,Approximately 1.5 hours
sandag-003,Transportation Committee,SANDAG,Regional Plan and transportation planning oversight,Not specified,Board appointees,Monthly,https://www.sandag.org/meetings-and-events/policy-advisory-committees/transportation,Chair: David Zito (Solana Beach)
sandag-004,Regional Planning Committee,SANDAG,Regional Comprehensive Plan preparation and implementation,Not specified,"Elected officials, SANDAG advisory members, environmental representatives",1st Friday every other month at 1pm,https://www.sandag.org/meetings-and-events/policy-advisory-committees/regional-planning,Chair: Carrie Anne Downey (Coronado)
sandag-005,Audit Committee,SANDAG,Internal control guidelines and audit recommendations,Not specified,"Elected officials, public members",1st Friday monthly at 9am,https://www.sandag.org/meetings-and-events/policy-advisory-committees/audit,Chair: Jack Fisher (Imperial Beach)
sandag-006,Borders Committee,SANDAG,Cross-border planning and tribal government relations,Not specified,Board appointees,4th Friday monthly 12:30-2:30pm,https://www.sandag.org/meetings-and-events/policy-advisory-committees/borders,Chair: Carolina Chavez (Chula Vista)
sandag-007,Public Safety Committee,SANDAG,Regional public safety coordination,Not specified,Board appointees,Monthly,https://www.sandag.org/meetings-and-events/policy-advisory-committees,Chair: Ed Musgrove (San Marcos)
mts-001,MTS Board of Directors,Metropolitan Transit System,Transit system governance and policy,15,Representatives from San Diego County jurisdictions,Monthly,https://www.sdmts.com/about/meetings-and-agendas/board-directors,"Chair: Stephen Whitburn, Vice Chair: Steve Goble"
mts-002,Joint Audit Oversight Budget Development and Executive Committee,MTS,Combined oversight committee (merged for 2025),Not specified,Board appointees,Monthly Thursdays at 9am,https://www.sdmts.com/about/meetings-and-agendas/executive-committee,New merged structure for 2025
mts-003,Accessible Services Advisory Committee,MTS,Accessibility services oversight,Not specified,Community appointees,Quarterly,https://www.sdmts.com/about/meetings-and-agendas/advisory-committee,James R. Mills Building
mts-004,Public Security Committee,MTS,Transit security oversight,Not specified,Board appointees,As needed,https://www.sdmts.com/about/meetings-and-agendas,Open to public
mts-005,Taxicab Advisory Committee,MTS,Taxicab industry regulation feedback,Not specified,Industry and public representatives,As needed,https://www.sdmts.com/business-center/for-hire-vehicle-administration/advisory-committee,Provides CEO and Board feedback
nctd-001,NCTD Board of Directors,North County Transit District,North County transit governance,9,"One representative from each incorporated city plus 5th District County Supervisor",Monthly,https://gonctd.com/about-nctd/board-information/,"Chair: Priya Bhat-Patel (Carlsbad), Vice Chair: Mike Sannella (San Marcos)"
nctd-002,Performance Administration and Finance Committee,NCTD,Financial and administrative oversight,Not specified,Board appointees,Monthly,https://gonctd.com/about-nctd/board-information/,Vice Chair leads committee
nctd-003,Marketing Service Planning and Business Development Committee,NCTD,Service planning and marketing oversight,Not specified,Board appointees,Monthly,https://gonctd.com/about-nctd/board-information/,Multiple board members
